config,dataset,cross_year_r,k_bias_hi,current (linear coef=0.5),linear coef=0.25,linear coef=0.10,linear coef=1.0,"tolerance T=0.50, coef=0.5","tolerance T=0.70, coef=0.5","tolerance T=1.00, coef=0.5",quadratic coef=0.5,quadratic coef=0.25,current (linear coef=0.5)_rank,linear coef=0.25_rank,linear coef=0.10_rank,linear coef=1.0_rank,"tolerance T=0.50, coef=0.5_rank","tolerance T=0.70, coef=0.5_rank","tolerance T=1.00, coef=0.5_rank",quadratic coef=0.5_rank,quadratic coef=0.25_rank
V8.5 baseline (full data),full,0.6,0.466,1.567,1.6835,1.7534,1.334,1.8,1.8,1.8,1.69142,1.74571,2,2,5,2,1,4,8,2,2
V8.5+stuff_plus,full,0.609,0.787,1.4335,1.63025,1.7483,1.04,1.6835,1.7835,1.827,1.51732,1.67216,7,7,8,7,7,7,7,7,7
V8.5+location_plus,full,0.61,0.823,1.4185,1.62425,1.7477,1.007,1.6685,1.7685,1.83,1.49134,1.66067,8,9,9,8,8,8,5,8,8
V8.5+pitching_plus,full,0.613,0.774,1.452,1.6455,1.7616,1.065,1.702,1.802,1.839,1.53946,1.68923,5,5,3,5,5,3,2,5,5
V8.5+pb_stuff,full,0.613,0.765,1.4565,1.64775,1.7625,1.074,1.7065,1.8065,1.839,1.54639,1.69269,3,4,2,3,3,1,2,3,3
V8.5+pb_command,full,0.611,0.831,1.4175,1.62525,1.7499,1.002,1.6675,1.7675,1.833,1.48772,1.66036,9,8,7,9,9,9,4,9,9
V8.5+pb_xrv100,full,0.61,0.771,1.4445,1.63725,1.7529,1.059,1.6945,1.7945,1.83,1.53278,1.68139,6,6,6,6,6,6,5,6,6
V8.5+fp_strike_pct,full,0.6,0.462,1.569,1.6845,1.7538,1.338,1.8,1.8,1.8,1.69328,1.74664,1,1,4,1,1,4,8,1,1
V11 (V8.5+pitching_plus+fp_strike),full,0.614,0.773,1.4555,1.64875,1.7647,1.069,1.7055,1.8055,1.842,1.54324,1.69262,4,3,1,4,4,2,1,4,4
V8.5 baseline (subset),subset,0.583,1.113,1.1925,1.47075,1.6377,0.636,1.4425,1.5425,1.6925,1.12962,1.43931,1,3,5,1,1,1,1,1,1
V12 V8.5+pitching_plus a=500,subset,0.586,1.534,0.991,1.3745,1.6046,0.224,1.241,1.341,1.491,0.58142,1.16971,6,6,6,6,6,6,6,6,6
V12 V8.5+pb_stuff a=1,subset,0.594,1.364,1.1,1.441,1.6456,0.418,1.35,1.45,1.6,0.85175,1.31688,5,5,4,4,5,5,5,4,5
V12 V8.5+all_FG a=1,subset,0.6,1.385,1.1075,1.45375,1.6615,0.415,1.3575,1.4575,1.6075,0.84089,1.32044,4,4,3,5,4,4,4,5,4
V12 V8.5+all_FG+PB a=1 (best),subset,0.605,1.295,1.1675,1.49125,1.6855,0.52,1.4175,1.5175,1.6675,0.97649,1.39574,2,1,1,2,2,2,2,2,2
V12 V8.5+all_FG+PB a=25,subset,0.601,1.316,1.145,1.474,1.6714,0.487,1.395,1.495,1.645,0.93707,1.37004,3,2,2,3,3,3,3,3,3
